95.19.133.73 - - [02/Jul/2014:13:51:33 +0200] "GET /kod-exempel/cimage/webroot/img.php?src=kodim04.png&w=150&h=150&crop-to-fit&area=0,20,0,0 HTTP/1.1" 200 42394
95.19.133.73 - - [02/Jul/2014:13:51:33 +0200] "GET /kod-exempel/cimage/webroot/img.php?src=kodim04.png&w=150&h=150&crop-to-fit&area=0,0,20,0 HTTP/1.1" 200 44934
95.19.133.73 - - [02/Jul/2014:13:51:33 +0200] "GET /kod-exempel/cimage/webroot/img.php?src=kodim04.png&w=150&h=150&crop-to-fit&area=0,0,0,35 HTTP/1.1" 200 42381
95.19.133.73 - - [02/Jul/2014:13:51:33 +0200] "GET /kod-exempel/cimage/webroot/img.php?src=kodim04.png&w=150&h=150&crop-to-fit&area=30,20,25,35 HTTP/1.1" 200 39607
95.19.133.73 - - [02/Jul/2014:13:51:33 +0200] "GET /kod-exempel/cimage/webroot/img.php?src=kodim04.png&w=c1&h=150&crop-to-fit HTTP/1.1" 200 10010
95.19.133.73 - - [02/Jul/2014:13:51:33 +0200] "GET /kod-exempel/cimage/webroot/img.php?src=kodim04.png&w=c2&h=150&crop-to-fit HTTP/1.1" 200 22093
95.19.133.73 - - [02/Jul/2014:13:51:33 +0200] "GET /kod-exempel/cimage/webroot/img.php?src=kodim04.png&w=c3&h=150&crop-to-fit HTTP/1.1" 200 34066
95.19.133.73 - - [02/Jul/2014:13:51:33 +0200] "GET /kod-exempel/cimage/webroot/img.php?src=kodim13.png&sa=jpg&w=300&ar=16:10&cf HTTP/1.1" 200 12374
95.19.133.73 - - [02/Jul/2014:13:51:33 +0200] "GET /kod-exempel/cimage/webroot/img.php?src=kodim13.png&sa=jpg&w=300&ar=3:1&cf HTTP/1.1" 200 6924
95.19.133.73 - - [02/Jul/2014:13:51:33 +0200] "GET /kod-exempel/cimage/webroot/img.php?src=kodim04.png&sa=jpg&h=200&ar=!16:10&cf HTTP/1.1" 200 4076
95.19.133.73 - - [02/Jul/2014:13:51:33 +0200] "GET /kod-exempel/cimage/webroot/img.php?src=kodim04.png&sa=jpg&h=200&ar=!3:1&cf HTTP/1.1" 200 2629
95.19.133.73 - - [02/Jul/2014:13:51:33 +0200] "GET /kod-exempel/cimage/webroot/img.php?src=kodim13.png&sa=jpg&w=300 HTTP/1.1" 200 13042
95.19.133.73 - - [02/Jul/2014:13:51:33 +0200] "GET /kod-exempel/cimage/webroot/img.php?src=kodim13.png&sa=jpg&w=300&scale=10 HTTP/1.1" 200 7994
95.19.133.73 - - [02/Jul/2014:13:51:33 +0200] "GET /kod-exempel/cimage/webroot/img.php?src=kodim13.png&sa=jpg&w=300&scale=5 HTTP/1.1" 200 4178
95.19.133.73 - - [02/Jul/2014:13:51:33 +0200] "GET /kod-exempel/cimage/webroot/img.php?src=kodim04.png&w=150&crop=300,300,0,0 HTTP/1.1" 200 44763
95.19.133.73 - - [02/Jul/2014:13:51:33 +0200] "GET /kod-exempel/cimage/webroot/img.php?src=kodim04.png&w=150&crop=300,300,right,top HTTP/1.1" 200 48411
95.19.133.73 - - [02/Jul/2014:13:51:33 +0200] "GET /kod-exempel/cimage/webroot/img.php?src=kodim04.png&w=150&crop=300,300,right,bottom HTTP/1.1" 200 42046
95.19.133.73 - - [02/Jul/2014:13:51:33 +0200] "GET /kod-exempel/cimage/webroot/img.php?src=kodim04.png&w=150&crop=300,300,left,bottom HTTP/1.1" 200 48916
95.19.133.73 - - [02/Jul/2014:13:51:33 +0200] "GET /kod-exempel/cimage/webroot/img.php?src=kodim04.png&w=150&crop=300,300,center,center HTTP/1.1" 200 40677
95.19.133.73 - - [02/Jul/2014:13:51:33 +0200] "GET /kod-exempel/cimage/webroot/img.php?src=kodim04.png&w=150&crop=200,220,190,300 HTTP/1.1" 200 43101
95.19.133.73 - - [02/Jul/2014:13:51:34 +0200] "GET /kod-exempel/cimage/webroot/img.php?src=kodim22.png&w=w2&save-as=jpg HTTP/1.1" 200 32969
95.19.133.73 - - [02/Jul/2014:13:51:34 +0200] "GET /kod-exempel/cimage/webroot/img.php?src=kodim22.png&w=300&save-as=jpg HTTP/1.1" 200 8952
95.19.133.73 - - [02/Jul/2014:13:51:34 +0200] "GET /kod-exempel/cimage/webroot/img.php?src=kodim22.png&w=300&save-as=jpg&sharpen HTTP/1.1" 200 12273
95.19.133.73 - - [02/Jul/2014:13:51:34 +0200] "GET /kod-exempel/cimage/webroot/img.php?src=kodim22.png&w=300&save-as=jpg&emboss HTTP/1.1" 200 10890
95.19.133.73 - - [02/Jul/2014:13:51:34 +0200] "GET /kod-exempel/cimage/webroot/img.php?src=kodim22.png&w=300&save-as=jpg&blur HTTP/1.1" 200 7910
95.19.133.73 - - [02/Jul/2014:13:51:34 +0200] "GET /kod-exempel/cimage/webroot/img.php?src=kodim24.png&w=w2&save-as=jpg HTTP/1.1" 200 40106
95.19.133.73 - - [02/Jul/2014:13:51:34 +0200] "GET /kod-exempel/cimage/webroot/img.php?src=kodim24.png&w=300&save-as=jpg&f=negate HTTP/1.1" 200 10992
95.19.133.73 - - [02/Jul/2014:13:51:34 +0200] "GET /kod-exempel/cimage/webroot/img.php?src=kodim24.png&w=300&save-as=jpg&f=grayscale HTTP/1.1" 200 10437
95.19.133.73 - - [02/Jul/2014:13:51:34 +0200] "GET /kod-exempel/cimage/webroot/img.php?src=kodim24.png&w=300&save-as=jpg&f=brightness,50 HTTP/1.1" 200 10556
95.19.133.73 - - [02/Jul/2014:13:51:34 +0200] "GET /kod-exempel/cimage/webroot/img.php?src=kodim24.png&w=300&save-as=jpg&f=brightness,-50 HTTP/1.1" 200 10819
95.19.133.73 - - [02/Jul/2014:13:51:34 +0200] "GET /kod-exempel/cimage/webroot/img.php?src=kodim24.png&w=300&save-as=jpg&f=contrast,20 HTTP/1.1" 200 8413
95.19.133.73 - - [02/Jul/2014:13:51:34 +0200] "GET /kod-exempel/cimage/webroot/img.php?src=kodim24.png&w=300&save-as=jpg&f=contrast,-20 HTTP/1.1" 200 13262
95.19.133.73 - - [02/Jul/2014:13:51:34 +0200] "GET /kod-exempel/cimage/webroot/img.php?src=kodim24.png&w=300&save-as=jpg&f=colorize,0,30,0,0 HTTP/1.1" 200 10885
95.19.133.73 - - [02/Jul/2014:13:51:34 +0200] "GET /kod-exempel/cimage/webroot/img.php?src=kodim24.png&w=300&save-as=jpg&f=colorize,100,60,0,0 HTTP/1.1" 200 10367
95.19.133.73 - - [02/Jul/2014:13:51:34 +0200] "GET /kod-exempel/cimage/webroot/img.php?src=kodim24.png&w=300&save-as=jpg&f=colorize,-60,0,0,0 HTTP/1.1" 200 10922
95.19.133.73 - - [02/Jul/2014:13:51:34 +0200] "GET /kod-exempel/cimage/webroot/img.php?src=kodim24.png&w=300&save-as=jpg&f=edgedetect HTTP/1.1" 200 19659
95.19.133.73 - - [02/Jul/2014:13:51:34 +0200] "GET /kod-exempel/cimage/webroot/img.php?src=kodim24.png&w=300&save-as=jpg&f=emboss HTTP/1.1" 200 15712
95.19.133.73 - - [02/Jul/2014:13:51:34 +0200] "GET /kod-exempel/cimage/webroot/img.php?src=kodim24.png&w=300&save-as=jpg&f=gaussian_blur HTTP/1.1" 200 8353
95.19.133.73 - - [02/Jul/2014:13:51:34 +0200] "GET /kod-exempel/cimage/webroot/img.php?src=kodim24.png&w=300&save-as=jpg&f=selective_blur HTTP/1.1" 200 10106
95.19.133.73 - - [02/Jul/2014:13:51:34 +0200] "GET /kod-exempel/cimage/webroot/img.php?src=kodim24.png&w=300&save-as=jpg&f=mean_removal HTTP/1.1" 200 25565
95.19.133.73 - - [02/Jul/2014:13:51:34 +0200] "GET /kod-exempel/cimage/webroot/img.php?src=kodim24.png&w=300&save-as=jpg&f=smooth,0 HTTP/1.1" 200 7688
95.19.133.73 - - [02/Jul/2014:13:51:34 +0200] "GET /kod-exempel/cimage/webroot/img.php?src=kodim24.png&w=300&save-as=jpg&f=smooth,10 HTTP/1.1" 200 9165
95.19.133.73 - - [02/Jul/2014:13:51:34 +0200] "GET /kod-exempel/cimage/webroot/img.php?src=kodim24.png&w=300&save-as=jpg&f=smooth,-5 HTTP/1.1" 200 13117
95.19.133.73 - - [02/Jul/2014:13:51:34 +0200] "GET /kod-exempel/cimage/webroot/img.php?src=kodim24.png&w=300&save-as=jpg&f=smooth,-7 HTTP/1.1" 200 23186
95.19.133.73 - - [02/Jul/2014:13:51:34 +0200] "GET /kod-exempel/cimage/webroot/img.php?src=kodim24.png&w=300&save-as=jpg&f=smooth,-10 HTTP/1.1" 200 21642
95.19.133.73 - - [02/Jul/2014:13:51:34 +0200] "GET /kod-exempel/cimage/webroot/img.php?src=kodim24.png&w=300&save-as=jpg&f=pixelate,4,0 HTTP/1.1" 200 8410
95.19.133.73 - - [02/Jul/2014:13:51:34 +0200] "GET /kod-exempel/cimage/webroot/img.php?src=kodim24.png&w=300&save-as=jpg&f=pixelate,4,1 HTTP/1.1" 200 6938
95.19.133.73 - - [02/Jul/2014:13:51:34 +0200] "GET /kod-exempel/cimage/webroot/img.php?src=kodim24.png&w=300&save-as=jpg&f=grayscale&f0=brightness,40 HTTP/1.1" 200 10157
95.19.133.73 - - [02/Jul/2014:13:51:34 +0200] "GET /kod-exempel/cimage/webroot/img.php?src=kodim24.png&w=300&save-as=jpg&f=grayscale&f0=brightness,40&f1=contrast,-20 HTTP/1.1" 200 11946
95.19.133.73 - - [02/Jul/2014:13:51:34 +0200] "GET /kod-exempel/cimage/webroot/img.php?src=kodim24.png&w=300&save-as=jpg&f=grayscale&f0=brightness,40&f1=contrast,-20&sharpen HTTP/1.1" 200 16150
95.19.133.73 - - [02/Jul/2014:13:51:34 +0200] "GET /kod-exempel/cimage/webroot/img.php?src=kodim24.png&w=300&save-as=jpg&f=grayscale&f0=brightness,-10&f1=contrast,-20&f2=colorize,120,60,0,0&sharpen HTTP/1.1" 200 16091
95.19.133.73 - - [02/Jul/2014:13:51:34 +0200] "GET /kod-exempel/cimage/webroot/img.php?src=kodim07.png&w=w2&save-as=jpg&sharpen&q=40 HTTP/1.1" 200 28474
95.19.133.73 - - [02/Jul/2014:13:51:34 +0200] "GET /kod-exempel/cimage/webroot/img.php?src=kodim23.png&w=300&save-as=jpg HTTP/1.1" 200 7478
95.19.133.73 - - [02/Jul/2014:13:51:34 +0200] "GET /kod-exempel/cimage/webroot/img.php?src=kodim23.png&w=300&save-as=gif HTTP/1.1" 200 33053
95.19.133.73 - - [02/Jul/2014:13:51:35 +0200] "GET /kod-exempel/cimage/webroot/img.php?src=kodim23.png&w=300&palette HTTP/1.1" 200 21683
95.19.133.73 - - [02/Jul/2014:13:51:35 +0200] "GET /kod-exempel/cimage/webroot/img.php?src=kodim23.png&w=300&save-as=jpg&q=100 HTTP/1.1" 200 47797
95.19.133.73 - - [02/Jul/2014:13:51:34 +0200] "GET /kod-exempel/cimage/webroot/img.php?src=kodim23.png&w=300 HTTP/1.1" 200 106326
95.19.133.73 - - [02/Jul/2014:13:51:35 +0200] "GET /kod-exempel/cimage/webroot/img.php?src=kodim23.png&w=300&save-as=jpg&q=60 HTTP/1.1" 200 7478
95.19.133.73 - - [02/Jul/2014:13:51:35 +0200] "GET /kod-exempel/cimage/webroot/img.php?src=kodim23.png&w=300&save-as=jpg&q=30 HTTP/1.1" 200 5021
95.19.133.73 - - [02/Jul/2014:13:51:35 +0200] "GET /kod-exempel/cimage/webroot/img.php?src=kodim23.png&w=300&save-as=jpg&q=10 HTTP/1.1" 200 2875
95.19.133.73 - - [02/Jul/2014:13:51:35 +0200] "GET /kod-exempel/cimage/webroot/img.php?src=kodim23.png&w=300&save-as=jpg&q=1 HTTP/1.1" 200 1916
95.19.133.73 - - [02/Jul/2014:13:51:35 +0200] "GET /kod-exempel/cimage/webroot/img.php?src=kodim23.png&w=c8 HTTP/1.1" 200 113165
95.19.133.73 - - [02/Jul/2014:13:51:35 +0200] "GET /image/snapshot/CImage_verbose_output.jpg?w=w2&q=60&sharpen HTTP/1.1" 200 61002
95.19.133.73 - - [02/Jul/2014:13:51:35 +0200] "GET /img/glyphicons/png/glyphicons_390_facebook.png HTTP/1.1" 200 212
95.19.133.73 - - [02/Jul/2014:13:51:35 +0200] "GET /img/glyphicons/png/glyphicons_392_twitter.png HTTP/1.1" 200 339
95.19.133.73 - - [02/Jul/2014:13:51:35 +0200] "GET /img/glyphicons/png/glyphicons_362_google+_alt.png HTTP/1.1" 200 398
95.19.133.73 - - [02/Jul/2014:13:51:35 +0200] "GET /img/glyphicons/png/glyphicons_377_linked_in.png HTTP/1.1" 200 266
95.19.133.73 - - [02/Jul/2014:13:51:35 +0200] "GET /img/glyphicons/png/glyphicons_027_search.png HTTP/1.1" 200 395
95.19.133.73 - - [02/Jul/2014:13:51:35 +0200] "GET /img/glyphicons/png/glyphicons_015_print.png HTTP/1.1" 200 283
95.19.133.73 - - [02/Jul/2014:13:51:35 +0200] "GET /img/glyphicons/png/glyphicons_382_youtube.png HTTP/1.1" 200 375
95.19.133.73 - - [02/Jul/2014:13:51:35 +0200] "GET /img/glyphicons/png/glyphicons_397_rss.png HTTP/1.1" 200 374
95.19.133.73 - - [02/Jul/2014:13:51:35 +0200] "GET /img/glyphicons/png/glyphicons_395_flickr.png HTTP/1.1" 200 308
95.19.133.73 - - [02/Jul/2014:13:51:35 +0200] "GET /img/glyphicons/png/glyphicons_381_github.png HTTP/1.1" 200 283
95.19.133.73 - - [02/Jul/2014:13:51:35 +0200] "GET /img/glyphicons/png/glyphicons_412_instagram.png HTTP/1.1" 200 336
37.58.100.74 - - [02/Jul/2014:13:52:32 +0200] "GET /kod-exempel/gor-din-egen-filmdatabas/movie_view.php?hits=2&page=3&genre=horror&orderby=year&order=asc HTTP/1.1" 200 2089
66.249.78.28 - - [02/Jul/2014:13:53:03 +0200] "GET /blogg/rss HTTP/1.1" 200 59335
65.19.138.33 - - [02/Jul/2014:13:54:00 +0200] "GET /coachen/rss HTTP/1.1" 200 46553
66.249.78.203 - - [02/Jul/2014:13:54:28 +0200] "GET /forum/viewtopic.php?t=2033&p=16954 HTTP/1.1" 200 9778
79.131.48.202 - - [02/Jul/2014:13:55:28 +0200] "GET /f/6384 HTTP/1.1" 301 217
79.131.48.202 - - [02/Jul/2014:13:55:29 +0200] "GET /forum/viewtopic.php?p=6384 HTTP/1.1" 200 4333
79.131.48.202 - - [02/Jul/2014:13:55:29 +0200] "GET /forum/styles/dbwebb_v0.6/theme/style.php HTTP/1.1" 200 13735
79.131.48.202 - - [02/Jul/2014:13:55:29 +0200] "GET /forum/styles/dbwebb_v0.6/template/forum_fn.js HTTP/1.1" 200 3329
79.131.48.202 - - [02/Jul/2014:13:55:31 +0200] "GET /image/tema/trad/tree3.jpg?a=0,4,0,0 HTTP/1.1" 200 4313
83.235.18.172 - - [02/Jul/2014:13:55:38 +0200] "GET /htmlphp/kmom03 HTTP/1.1" 200 18712
37.58.100.155 - - [02/Jul/2014:13:55:57 +0200] "GET /f/6249 HTTP/1.1" 301 217
37.58.100.166 - - [02/Jul/2014:13:56:48 +0200] "GET /kod-exempel/gor-din-egen-filmdatabas/movie_view.php?hits=2&page=3&genre=adventure&orderby=title&order=desc HTTP/1.1" 200 2099
212.181.100.8 - - [02/Jul/2014:13:57:09 +0200] "GET /kod-exempel/oophp20/autoload/dice.php?roll=24 HTTP/1.1" 200 817
212.181.100.8 - - [02/Jul/2014:13:57:20 +0200] "GET /kod-exempel/source.php?dir=oophp20/autoload&file=dice.php HTTP/1.1" 200 2172
212.181.100.8 - - [02/Jul/2014:13:57:39 +0200] "GET /kod-exempel/source.php?dir=oophp20/autoload&file=bootstrap.php HTTP/1.1" 200 1315
212.181.100.8 - - [02/Jul/2014:13:57:50 +0200] "GET /kod-exempel/source.php?dir=oophp20/autoload&file=dice.php HTTP/1.1" 200 2172
212.181.100.8 - - [02/Jul/2014:13:58:04 +0200] "GET /kod-exempel/source.php?dir=oophp20/autoload&file=CHistogram.php HTTP/1.1" 200 1839
212.181.100.8 - - [02/Jul/2014:13:58:11 +0200] "GET /kod-exempel/source.php?dir=oophp20/autoload&file=CHistogram.php HTTP/1.1" 200 1839
178.154.243.91 - - [02/Jul/2014:13:58:13 +0200] "GET /kod-exempel/oophp20/histogram/dice.php?roll=6 HTTP/1.1" 200 789
212.181.100.8 - - [02/Jul/2014:13:58:14 +0200] "GET /kod-exempel/source.php?dir=oophp20/autoload&file=CDice.php HTTP/1.1" 200 1745
37.58.100.180 - - [02/Jul/2014:13:58:36 +0200] "GET /forum/posting.php?mode=reply&f=25&t=2028 HTTP/1.1" 200 4340
37.58.100.187 - - [02/Jul/2014:13:58:41 +0200] "GET /kod-exempel/source.php?dir=nodejs/node_modules/socket.io/node_modules/redis/examples&file=backpressure_drain.js HTTP/1.1" 200 1785
66.249.78.203 - - [02/Jul/2014:13:59:06 +0200] "GET /blogg/heta-tekniker-for-en-webbprogrammerare-infor-2014 HTTP/1.1" 200 5703
37.58.100.74 - - [02/Jul/2014:13:59:26 +0200] "GET /kod-exempel/gor-din-egen-filmdatabas/movie_view.php?genre=romance&orderby=title&order=desc&hits=2 HTTP/1.1" 200 2134
194.47.135.145 - - [02/Jul/2014:14:00:01 +0200] "POST /forum/ucp.php?mode=login HTTP/1.1" 200 11710
194.47.135.145 - - [02/Jul/2014:14:00:01 +0200] "POST /forum/feed.php HTTP/1.1" 200 25353
46.161.41.34 - - [02/Jul/2014:14:00:20 +0200] "GET /lydia/tags/v0.2.16/content/create HTTP/1.1" 200 3671
46.161.41.34 - - [02/Jul/2014:14:00:20 +0200] "GET /lydia/tags/v0.2.16/content/edit/1 HTTP/1.1" 200 4100
46.161.41.34 - - [02/Jul/2014:14:00:20 +0200] "GET /lydia/tags/v0.2.16/content/edit/2 HTTP/1.1" 200 4100
46.161.41.34 - - [02/Jul/2014:14:00:20 +0200] "GET /lydia/tags/v0.2.16/content/edit HTTP/1.1" 200 3667
46.161.41.34 - - [02/Jul/2014:14:00:20 +0200] "POST /lydia/tags/v0.2.16/content/edit/2 HTTP/1.1" 302 4214
46.161.41.34 - - [02/Jul/2014:14:00:20 +0200] "POST /lydia/tags/v0.2.16/content/create HTTP/1.1" 302 3989
46.161.41.34 - - [02/Jul/2014:14:00:20 +0200] "POST /lydia/tags/v0.2.16/content/edit HTTP/1.1" 302 4024
46.161.41.34 - - [02/Jul/2014:14:00:20 +0200] "POST /lydia/tags/v0.2.16/content/edit/1 HTTP/1.1" 302 4213
46.161.41.34 - - [02/Jul/2014:14:00:20 +0200] "GET /lydia/tags/v0.2.16/content/edit/2 HTTP/1.1" 200 4397
46.161.41.34 - - [02/Jul/2014:14:00:20 +0200] "GET /lydia/tags/v0.2.16/content/edit/4490 HTTP/1.1" 200 4234
46.161.41.34 - - [02/Jul/2014:14:00:20 +0200] "GET /lydia/tags/v0.2.16/content/edit/1 HTTP/1.1" 200 4393
46.161.41.34 - - [02/Jul/2014:14:00:20 +0200] "GET /lydia/tags/v0.2.16/content/edit/4491 HTTP/1.1" 200 4267
46.161.41.34 - - [02/Jul/2014:14:00:21 +0200] "POST /lydia/tags/v0.2.16/content/edit/4490 HTTP/1.1" 302 4171
46.161.41.34 - - [02/Jul/2014:14:00:21 +0200] "POST /lydia/tags/v0.2.16/content/edit/2 HTTP/1.1" 302 4208
